LivingSport SKU no.,EAN / GS1,Decription,Quantity,Next Arrival,Comment,GW  KG,Brand
Bikes,,,,,,,
270-101012,5055436108405,Reebok Bike GB40S One Series,0  ,6/21/2021, ,34.0,REEBOK
270-108010,885652011419,Reebok Bike SL8.0,0  ,11/1/2021, ,0.0,REEBOK
270-000482,5701000310117,TITAN LIFE BIKE ATHLETE B'55,0  ,6/21/2021,0,41.8,TITAN LIFE
270-200039,5701000122109,TITAN LIFE BIKE B35,0  ,6/21/2021, ,0.0,TITAN LIFE
270-200103,5701000199972,TITAN LIFE BIKE B62,0  ,, ,0.0,TITAN LIFE
270-200040,5701000122116,TITAN LIFE BIKE B65,0  ,10/1/2021,0,0.0,TITAN LIFE
270-200054,5701000169012,TITAN LIFE BIKE B80 PRO,0  ,7/1/2021, ,0.0,TITAN LIFE
270-200095,5701000197121,TITAN LIFE BIKE WARM UP,0  ,8/2/2021,0,0.0,TITAN LIFE
400-800001,5701000201378,TITAN LIFE Circulation Trainer Electrical,0  ,8/3/2021, ,4.8,TITAN LIFE
Spinbikes,,,,,,,
700-SP400,5701000281233,Brunox Lub & Core,22  ,8/15/2019, ,0.5,ØVRIGE BRANDS
200-300520,5712934001057,Exustar Pedal E-PS7 Look/SPD Combi,0  ,4/20/2021, ,0.0,ØVRIGE BRANDS
270-000290,5701000310018,TITAN LIFE BIKE TRAINER S'11,0  ,6/9/2021, ,35.0,TITAN LIFE
270-200062,5701000170278,TITAN LIFE Indoor Bike S62,0  ,5/26/2021, ,0.0,TITAN LIFE
270-200063,5701000170292,TITAN LIFE Indoor Bike S72,0  ,8/2/2021, ,0.0,TITAN LIFE
270-200053,5701000169005,TITAN LIFE INDOOR BIKE S80 PRO,0  ,7/15/2021,0,0.0,TITAN LIFE
700-SP200,7610567955007,Turbo-Spray Brunox 500ml.,11  ,8/15/2019, ,0.5,ØVRIGE BRANDS
Elliptical Trainer / Crosstrainer,,,,,,,
270-101112,5055436111139,Reebok Crosstrainer GX40S One Series,0  ,6/21/2021, ,55.3,REEBOK
270-125110,885652010856,Reebok Crosstrainer ZJET 460,0  ,11/1/2021,0,0.0,REEBOK
270-000485,5701000310148,TITAN LIFE CROSSTRAINER ATHLETE C'55,0  ,12/15/2021, ,60.5,TITAN LIFE
270-200041,5701000122123,TITAN LIFE CROSSTRAINER C35,0  ,6/23/2021,0,0.0,TITAN LIFE
270-200042,5701000122130,TITAN LIFE CROSSTRAINER C65,0  ,10/1/2021,0,0.0,TITAN LIFE
270-200055,5701000169029,TITAN LIFE CROSSTRAINER C80 PRO,0  ,6/30/2021, ,0.0,TITAN LIFE
